cycle,current_date,day_of_simulation,nb_susceptible,nb_exposed,nb_infectious_symptomatic,nb_infectious_asymptomatic,nb_recovered,nb_immune,nb_Qs,nb_Qa,nb_H,nb_D,nb_mask,nb_hand_wash,nb_social_distance,R0,infected_today,tot_infected,semaphore
1008,date ('2020-07-04 00:00:00'),42,21092,2,13,5,0,2,8,1,1,1,59,42,59,0.0,0,24,0.3
1032,date ('2020-07-05 00:00:00'),43,21091,3,12,5,0,3,7,1,1,1,57,62,56,0.0,1,25,0.3
1056,date ('2020-07-06 00:00:00'),44,21091,3,12,4,0,3,7,1,1,2,45,64,49,0.0,0,25,0.3
1080,date ('2020-07-07 00:00:00'),45,21090,2,13,3,0,5,7,1,1,2,57,55,58,0.0,1,26,0.3
1104,date ('2020-07-08 00:00:00'),46,21089,1,14,2,0,7,8,1,1,2,59,72,62,0.0,1,27,0.3
1128,date ('2020-07-09 00:00:00'),47,21089,0,14,2,0,7,8,1,1,3,41,48,49,0.3333333333333333,0,27,0.3
1152,date ('2020-07-10 00:00:00'),48,21089,0,14,2,0,7,8,1,1,3,63,46,45,0.3333333333333333,0,27,0.3
1176,date ('2020-07-11 00:00:00'),49,21089,0,14,1,0,8,8,1,1,3,59,49,50,0.3333333333333333,0,27,0.3
1200,date ('2020-07-12 00:00:00'),50,21088,1,14,1,0,8,8,1,1,3,48,56,51,0.3333333333333333,1,28,0.3
1224,date ('2020-07-13 00:00:00'),51,21088,1,13,1,0,9,7,1,1,3,58,47,57,0.3333333333333333,0,28,0.3
1248,date ('2020-07-14 00:00:00'),52,21087,2,11,1,0,10,6,1,0,4,60,61,54,0.25,1,29,0.3
1272,date ('2020-07-15 00:00:00'),53,21087,2,11,1,0,10,6,1,0,4,28,22,30,0.25,0,29,0.3
1296,date ('2020-07-16 00:00:00'),54,21087,2,10,1,0,11,5,1,0,4,31,32,30,0.25,0,29,0.3
1320,date ('2020-07-17 00:00:00'),55,21086,3,10,1,0,11,5,1,0,4,28,39,34,0.25,1,30,0.3
1344,date ('2020-07-18 00:00:00'),56,21085,3,11,1,0,11,5,1,0,4,31,25,34,0.25,1,31,0.3
1368,date ('2020-07-19 00:00:00'),57,21084,2,11,1,0,13,6,1,0,4,34,24,36,0.25,1,32,0.3
1392,date ('2020-07-20 00:00:00'),58,21083,3,11,1,0,13,6,1,0,4,29,35,37,0.25,1,33,0.3
1416,date ('2020-07-21 00:00:00'),59,21083,1,12,2,0,13,6,1,0,4,31,39,45,0.25,0,33,0.3
